Poem,Poemstyle
"""శ్రీ కైవల్య పదంబుఁ జేరుటకునై చింతించెదన్ లోక ర
క్షైకారంభకు, భక్త పాలన కళా సంరంభకున్, దానవో
ద్రేకస్తంభకుఁ, గేళి లోల విలసద్దృగ్జాల సంభూత నా
నా కంజాత భవాండ కుంభకు, మహానందాంగనాడింభకున్""",శార్ధూలము
"""వాలిన భక్తి మ్రొక్కెద నవారిత తాండవ కేళికిన్, దయా
శాలికి, శూలికిన్, శిఖరిజా ముఖ పద్మ మయూఖ మాలికిన్,
బాల శశాంక మౌళికిఁ, గపాలికి, మన్మథ గర్వ పర్వతో
న్మూలికి, నారదాది మునిముఖ్య మనస్సరసీరుహాలికిన్""",ఉత్పలమాల
"""ఆతత సేవఁ జేసెద సమస్త చరాచర భూత సృష్టి వి
జ్ఞాతకు, భారతీ హృదయ సౌఖ్య విధాతకు, వేదరాశి ని
ర్ణేతకు, దేవతా నికర నేతకుఁ, గల్మష ఛేత్తకున్, నత
త్రాతకు, ధాతకున్, నిఖిల తాపస లోక శుభప్రదాతకున్""",ఉత్పలమాల
"""ఆదర మొప్ప మ్రొక్కిడుదు నద్రి సుతా హృదయానురాగ సం
పాదికి, దోషభేదికిఁ, బ్రపన్నవినోదికి, విఘ్నవల్లికా
చ్ఛేదికి, మంజువాదికి, నశేష జగజ్జన నంద వేదికిన్,
మోదకఖాదికిన్, సమద మూషక సాదికి, సుప్రసాదికిన్""",ఉత్పలమాల
"""క్షోణితలంబునన్ నుదురు సోఁకఁగ మ్రొక్కి నుతింతు సైకత
శ్రోణికిఁ, జంచరీక చయ సుందరవేణికి, రక్షితామర
శ్రేణికిఁ, దోయజాతభవ చిత్త వశీకరణైక వాణికిన్,
వాణికి. నక్షదామ శుక వారిజ పుస్తక రమ్య పాణికిన్""",ఉత్పలమాల
"""పుట్టం బుట్ట, శరంబునన్ మొలవ, నంభోయానపాత్రంబునన్
నెట్టం గల్గను, గాళిఁ గొల్వను, బురాణింపన్ దొరంకొంటి, మీఁ
దెట్టే వెంటఁ జరింతుఁ దత్సరణి నా కీవమ్మ యో! యమ్మ! మేల్
పట్టున్ నా కగుమమ్మ, నమ్మితిఁ జుమీ బ్రాహ్మీ! దయాంభోనిధీ!""",శార్ధూలము
"""శారదనీరదేందు, ఘనసార, పటీర, మరాళ, మల్లికా
హార, తుషార, ఫేన, రజతాచల, కాశ, ఫణీశ, కుంద, మం
దార, సుధాపయోధి, సితతామర, సామరవాహినీ శుభా
కారత నొప్పు నిన్ను మదిఁ గానఁగ నెన్నఁడు గల్గు, భారతీ!""",ఉత్పలమాల
"""అంబ, నవాంబుజోజ్జ్వలకరాంబుజ, శారదచంద్రచంద్రికా
డంబర చారుమూర్తి, ప్రకటస్ఫుట భూషణ రత్నదీపికా
చుంబిత దిగ్విభాగ, శ్రుతిసూక్తి వివిక్త నిజప్రభావ, భా
వాంబరవీధి విశ్రుతవిహారిణి, నన్ గృపఁ జూడు భారతీ!""",ఉత్పలమాల
"""అమ్మలఁ గన్నయమ్మ, ముగురమ్మలమూలపుటమ్మ, చాలఁ బె
ద్దమ్మ, సురారులమ్మ కడు పాఱడి పుచ్చిన యమ్మ, తన్ను లో
నమ్మిన వేల్పుటమ్మల మనమ్ముల నుండెడి యమ్మ, దుర్గ, మా
యమ్మ, కృపాబ్ధి యిచ్చుత మహత్త్వకవిత్వ పటుత్వ సంపదల్""",ఉత్పలమాల
"""హరికిం బట్టపుదేవి, పున్నెముల ప్రో వర్థంపుఁ బెన్నిక్క, చం
దురు తోఁబుట్టువు, భారతీ గిరిసుతల్ తో నాడు పూఁబోఁడి, తా
మరలం దుండెడి ముద్దరాలు, జగముల్ మన్నించు నిల్లాలు, భా
సురతన్ లేములు వాపు తల్లి, సిరి యిచ్చున్ నిత్యకల్యాణముల్""",మత్తేభము
"""ఇమ్మనుజేశ్వరాధముల కిచ్చి, పురంబులు వాహనంబులున్
సొమ్ములుఁ గొన్ని పుచ్చుకొని, చొక్కి, శరీరము వాసి కాలుచే
సమ్మెట వ్రేటులం బడక సమ్మతితో హరి కిచ్చి చెప్పె నీ
బమ్మెర పోతరాజొకఁడు భాగవతంబు జగద్ధితంబుగన్""",ఉత్పలమాల
"""ఒనరన్ నన్నయ తిక్కనాది కవు లీ యుర్విం బురాణావళుల్
తెనుఁగుం జేయుచు, మత్పురాకృత శుభాధిక్యంబు దా నెట్టిదో,
తెనుఁగుం జేయరు మున్ను భాగవతమున్, దీనిం దెనింగించి, నా
జననంబున్ సఫలంబుఁ జేసెదఁ బునర్జన్మంబు లేకుండఁగన్""",మత్తేభము
"""లలితస్కంధము, కృష్ణమూలము, శుకాలాపాభిరామంబు, మం
జులతాశోభితమున్, సువర్ణసుమనస్సుజ్ఞేయమున్, సుందరో
జ్జ్వలవృత్తంబు, మహాఫలంబు, విమలవ్యాసాలవాలంబునై
వెలయున్ భాగవతాఖ్యకల్పతరు వుర్విన్ సద్ద్విజశ్రేయమై""",మత్తేభము
"""ధరణీవల్లభుఁ డా ప్రియవ్రతుఁడు మోదం బందుచున్ లీల నీ
శ్వరవాక్యంబునఁ గర్మతంత్ర పరుఁడై సంగంబులం బాపు శ్రీ
హరిపాదాంబుజ చింతనం దగిలి నిత్యానందముం బొంది దు
ర్భర రాగాదులఁ బాఱఁదోలి ప్రజలం బాలించె నత్యున్నతిన్""",మత్తేభము
"""జనకుం డిట్లు విరక్తుఁడైనను దదాజ్ఞం జేసి యాగ్నీధ్రుఁ డే
పున ధర్మప్రతిపాలనుం డగుచు జంబూ ద్వీపమున్నేలుచుం
దన సత్పుత్రులమాడ్కి నెల్ల ప్రజలం దాత్పర్య చిత్తంబునన్
ఘనతం బ్రోచె ననేకకాల మిలఁ బ్రఖ్యాతంబుగా భూవరా!""",మత్తేభము
"""అంగజుఁ డెక్కుడించిన శరాసనమున్ ధరియించి యంత నా
యంగజు వేఁట మానవమృగావళి సూటిగఁ నేచు దానవో?
రంగగు నీ నిజాకృతి తెఱం గెఱుఁగంగ నిజంబు పల్కుమా
యంగన నిన్నుఁ గన్గొనిన యంత ననంగుఁడు సందడించెడున్.""",ఉత్పలమాల
"""చెదరఁగ వేదముల్ చదువు శిష్యులపైఁ దగఁ బుష్పవృష్టి స
మ్మదమున నంతలోఁ గురియు మాడ్కిని మన్మథసామగానముల్
చదివెడు శిష్యులో యనఁగ షట్పదపంక్తులు చేరి మ్రోయఁగాఁ
బదపడి మీఁద రాలుఁ గచభారము నందుల జాఱు క్రొవ్విరుల్""",చంపకమాల
"""ఏ లోకంబున నుండి వచ్చితివి? నీ విచ్చోటికిన్ మున్ను నే
నే లోకంబునఁ జెప్పఁ జూప నెఱుఁగన్నీ సుందరాకారము
న్నీ లాలిత్యము లీ వినోదములు నీ కిట్లొప్పునే? కామినీ!
భూలోకంబున కెట్లు వచ్చితివి నా పుణ్యం బగణ్యంబుగన్?""",శార్ధూలము
"""పటుతాటంక రథాంగ యుగ్మమునకుం బల్మాఱు భీతిల్లుచున్
నటనం బందెడు గండుమీనములతో నాసన్న నీలాలకో
త్కట భృంగావళితో ద్విజావళి లసత్కాంతిన్ విడంబించు మా
ఱట కాసారముఁ బోలి నెమ్మొగము దా రంజిల్లు నత్యున్నతిన్.""",మత్తేభము
"""కరువలిఁ బాయు వస్త్రమును గట్ట నెఱుంగవు; చూడ్కి దిక్కులం
బఱపుచుఁ జంచరీకముల భాతిఁ జెలంగెడు కంధరంబునం
బొరలెడు ముక్తకేశభరముం దుఱుమంగఁ దలంప; విప్పు డి
ట్లరుదుగ రత్నకందుక విహారము సల్పెడు సంభ్రమంబునన్.""",చంపకమాల
"""అన్యాలోకన భీకరంబులు, జితాశానేకపానీకముల్,
వన్యేభంబులు కొన్ని మత్తతనులై, వ్రజ్యావిహారాగతో
దన్యత్వంబున భూరి భూధరదరీ ద్వారంబులందుండి సౌ
జన్యక్రీడల నీరుగాలిపడి కాసారావగాహార్థమై.""",శార్ధూలము
"""కలభంబుల్ చెరలాడుఁ బల్వలము లాఘ్రాణించి మట్టాడుచున్
ఫలభూజంబులు రాయుచుం జివురు జొంపంబుల్ వడిన్ మేయుచుం
బులులం గాఱెనుపోతులన్ మృగములం బోనీక శిక్షించుచుం
గొలఁకుల్ జొచ్చి కలంచుచున్ గిరులపై గొబ్భిళ్ళు గోరాడుచున్""",మత్తేభము
"""అటఁ గాంచెం గరిణీవిభుండు నవఫుల్లాంభోజకల్హారమున్
నటదిందిందిర వారముం, గమఠ మీనగ్రాహ దుర్వారమున్,
వట హింతాల రసాల సాల సుమనో వల్లీకుటీతీరముం,
జటులోద్ధూత మరాళ చక్ర బక సంచారంబుఁ గాసారమున్.""",మత్తేభము
"""ఇభలోకేంద్రుఁడు హస్తరంధ్రముల నీరెక్కించి, పూరించి, చం
డభ మార్గంబున కెత్తి, నిక్కి, వడి నుడ్డాడించి పింజింప నా
రభటిన్ నీరములోనఁ బెల్లెగసి నక్రగ్రాహ పాఠీనముల్
నభమం దాడెడు మీన కర్కటములన్ బట్టెన్ సురల్ మ్రాన్పడన్.""",మత్తేభము
"""పదములఁ బట్టినం దలకుబా టొకయింతయు లేక శూరతన్
మదగజవల్లభుండు ధృతిమంతుఁడు దంతయుగాంత ఘట్టనం
జెదరఁగఁ జిమ్మె; న మ్మకరిచిప్పలు పాదులు దప్పనొప్పఱన్
వదలి జలగ్రహంబు కరివాలముమూలముఁ జీరెఁ గోఱలన్""",చంపకమాల
"""ఆటోపంబునఁ జిమ్ము ఱొమ్మగల వజ్రాభీల దంతంబులం
దాటించున్, మెడఁ జుట్టిపట్టి హరి దోర్దండాభ శుండాహతిన్
నీటన్ మాటికి మాటికిం దిగువఁగా నీరాటమున్ నీటి పో
రాట న్నోటమిపాటుఁ జూపుట కరణ్యాటంబు వాచాటమై""",శార్ధూలము
"""ఉఱుకుం గుంభయుగంబుపై హరి క్రియన్ హుమ్మంచుఁ; బాదంబులం
నెఱయం గంఠము వెన్నుదన్ను; నెగయున్ హేలాగతిన్; వాలముం
జఱచుం; నుగ్గుగఁ దాఁకు; ముంచు; మునుగుం; శల్యంబులుం దంతముల్
విఱుఁగన్ వ్రేయుచుఁ బొంచిపొంచి కదియున్ వేదండ యూధోత్తమున్.""",మత్తేభము
"""పొడగానంబడకుండ డాఁగు; వెలికిం బోవంగ దా నడ్డమై
పొడచూపుం; జరణంబులం బెనగొనుం; బో రాక రా రాక బె
గ్గడిలం గూలఁగఁదాఁచు; లేచుతఱి నుద్ఘాటించు; లంఘించుఁ; బ
ల్విడిఁ జీరుం; దలఁగున్; మలంగు; నొడియన్ వేధించుఁ; గ్రోధించుచున్.""",మత్తేభము
"""పాదద్వంద్వము నేలమోపి, పవనున్ బంధించి, పంచేంద్రియో
న్మాదంబుం బరిమార్చి, బుద్ధిలతకున్ మాఱాకు హత్తించి, ని
ష్ఖేదబ్రహ్మపదావలంబనరతిం గ్రీడించు యోగీంద్రు మ
ర్యాదన్ నక్రము విక్రమించెఁ గరిపాదాక్రాంతనిర్వక్రమై""",శార్ధూలము
"""ఊహ గలంగి జీవనపుటోలమునం బడి పోరుచున్ మహా
మోహలతా నిబద్ధపదమున్ విడిపించుకొనంగ లేక సం
దేహముఁ బొందు దేహి క్రియ దీనదశన్ గజ ముండె భీషణ
గ్రాహ దురంత దంత పరిఘట్టిత పాదఖురాగ్ర శల్యమై""",ఉత్పలమాల
"""పృథుశక్తిన్ గజ మా జలగ్రహముతోఁ బెక్కేండ్లు పోరాడి, సం
శిథిలంబై, తన లావు వైరిబలముం జింతించి, మిథ్యామనో
రథమిం కేటికి? దీని గెల్వ సరి పోరం జాలరా దంచు స
వ్యథమై యిట్లనుఁ బూర్వపుణ్యఫల దివ్యజ్ఞాన సంపత్తితోన్.""",మత్తేభము
"""ఏ రూపంబున దీని గెల్తు? నిటమీఁ దేవేల్పుఁ జింతింతు? నె
వ్వారిం జీరుదు? నెవ్వరడ్డ? మిఁక ని వ్వారిప్రచారోత్తమున్
వారింపం దగువార లెవ్వ? రఖిలవ్యాపార పారాయణుల్
లేరే? మ్రొక్కెద దిక్కుమాలిన మొఱాలింపం బ్రపుణ్యాత్మకుల్""",శార్ధూలము
"""నానానేకపయూధముల్ వనములోనం బెద్దకాలంబు స
న్మానింపన్ దశలక్షకోటి కరిణీనాథుండనై యుండి మ
ద్ధానాంభః పరిపుష్ట చందన లతాంతచ్ఛాయలం దుండ లే
కీ నీరాశ నిటేల వచ్చితి? భయం బెట్లోకదే యీశ్వరా!""",శార్ధూలము
"""ఎవ్వనిచే జనించు జగ; మెవ్వని లోపల నుండు లీనమై;
యెవ్వని యందు డిందుఁ; బరమేశ్వరుఁ డెవ్వఁడు; మూలకారణం
బెవ్వఁ; డనాదిమధ్యలయుఁ డెవ్వఁడు; సర్వముఁ దానయైన వాఁ
డెవ్వఁడు; వాని నాత్మభవు నీశ్వరు నే శరణంబు వేడెదన్""",ఉత్పలమాల
"""లా వొక్కింతయు లేదు; ధైర్యము విలోలంబయ్యె; బ్రాణంబులున్
ఠావుల్ దప్పెను; మూర్ఛ వచ్ఛెఁ; దనువున్ డస్సెన్; శ్రమంబయ్యెడిన్;
నీవే తప్ప నితఃపరం బెఱుఁగ; మన్నింపందగున్ దీనునిన్;
రావే! యీశ్వర! కావవే వరద! సంరక్షింపు భద్రాత్మకా!""",శార్ధూలము
"""ఓ కమలాప్త! యో వరద! యో ప్రతిపక్షవిపక్షదూర! కు
య్యో! కవియోగివంద్య! సుగుణోత్తమ! యో శరణాగతామరా
నోకహ! యో మునీశ్వర మనోహర! యో విమలప్రభావ! రా
వే! కరుణింపవే! తలఁపవే! శరణార్థిని నన్నుగావవే!""",ఉత్పలమాల
"""అల వైకుంఠపురంబులో నగరిలో నా మూల సౌధంబు దా
పల మందారవనాంతరామృత సరః ప్రాంతేందు కాంతోపలో
త్పల పర్యంక రమావినోది యగు నాపన్నప్రసన్నుండు వి
హ్వల నాగేంద్రము ""పాహిపాహి"" యనఁ గుయ్యాలించి సంరంభియై""",మత్తేభము
"""సిరికిం జెప్పఁడు; శంఖ చక్ర యుగముం జేదోయి సంధింపఁ; డే
పరివారంబునుఁ జీరఁ; డభ్రగపతిం బన్నింపఁ; డాకర్ణికాం
తర ధమ్మిల్లముఁ జక్క నొత్తఁడు; వివాదప్రోత్థితశ్రీకుచో
పరిచేలాంచలమైన వీడఁడు గజప్రాణావనోత్సాహియై.""",మత్తేభము
"""తనవెంటన్ సిరి; లచ్చివెంట నవరోధవ్రాతమున్; దాని వె
న్కనుఁ బక్షీంద్రుఁడు; వాని పొంతను ధనుఃకౌమోదకీ, శంఖ, చ
క్రనికాయంబును; నారదుండు; ధ్వజినీకాంతుండు రా వచ్చి రొ
య్యన వైకుంఠపురంబునం గలుగువా రాబాలగోపాలమున్.""",మత్తేభము
"""తన వేంచేయు పదంబుఁ బేర్కొనఁ; డనాథస్త్రీ జనాలాపముల్
వినెనో? మ్రుచ్చులు మ్రుచ్చలించిరొ ఖలుల్ వేదప్రపంచంబులన్?
దనుజానీకము దేవతానగరిపై దండెత్తెనో? భక్తులం
గని చక్రాయుధుఁ డేఁడి చూపుఁ డని ధిక్కారించిరో? దుర్జనుల్.""",మత్తేభము
"""తాటంకాచలనంబుతో, భుజనటద్ధమ్మిల్లబంధంబుతో,
శాటీముక్త కుచంబుతో, నదృఢచంచత్కాంచితో, శీర్ణలా
లాటాలేపముతో, మనోహరకరాలగ్నోత్తరీయంబుతోఁ,
గోటీందుప్రభతో, నురోజభర సంకోచద్విలగ్నంబుతోన్""",మత్తేభము
"""వినువీథిన్ జనుదేరఁ గాంచి రమరుల్ విష్ణున్, సురారాతి జీ
వనసంపత్తి నిరాకరిష్ణుఁ, గరుణావర్ధిష్ణుఁ, యోగీంద్ర హృ
ద్వనవర్తిష్ణు, సహిష్ణు, భక్తజనబృందప్రాభవాలంకరి
ష్ణు, నవోఢోల్ల సదిందిరా పరిచరిష్ణున్, జిష్ణు, రోచిష్ణునిన్.""",మత్తేభము
"""చనుదెంచెన్ ఘనుఁ డల్లవాఁడె; హరి పజ్జం గంటిరే లక్ష్మి? శం
ఖ నినాదం బదె; చక్ర మల్లదె; భుజంగధ్వంసియున్ వాఁడె; క్ర
న్నన యేతెంచె"" నటంచు వేల్పులు ""నమోనారాయణాయేతి"" ని
స్వనులై మ్రొక్కిరి మింట హస్తిదురవస్థావక్రికిం జక్రికిన్.""",మత్తేభము
"""కరుణాసింధుఁడు శౌరి వారిచరమున్ ఖండింపఁగాఁ బంపె స
త్త్వరితాకంపిత భూమిచక్రము, మహోద్యద్విస్ఫులింగచ్ఛటా
పరిభూతాంబర శుక్రమున్, బహువిధబ్రహ్మాండభాండచ్ఛటాం
తరనిర్వక్రముఁ, బాలితాఖిల సుధాంధశ్చక్రముం, జక్రమున్.""",మత్తేభము
"""అంభోజాకరమధ్య నూతన నలిన్యాలింగన క్రీడ నా
రంభుం డైన వెలుంగుఱేని చెలువారన్ వచ్చి, నీటన్ గుభుల్
గుంభద్ధ్వానముతోఁ గొలంకును కలంకం బొందఁగా జొచ్చి, దు
ష్టాంభోవర్తి వసించు చక్కటికి డాయంబోయి హృద్వేగమై.""",శార్ధూలము
"""భీమంబై తలఁ ద్రుంచి ప్రాణములఁ బాపెం జక్ర మా శుక్రియన్,
హేమక్ష్మాధర దేహముం, జకితవన్యేభేంద్ర సందోహముం,
గామక్రోధన గేహమున్, గరటి రక్తస్రావ గాహంబు, ని
స్సీమోత్సాహము, వీత దాహము, జయశ్రీ మోహమున్, గ్రాహమున్""",శార్ధూలము
"""తమముం బాసిన రోహిణీవిభు క్రియన్ దర్పించి సంసారదుః
ఖము వీడ్కొన్న విరక్తచిత్తుని గతిన్ గ్రాహంబు పట్టూడ్చి పా
దము లల్లార్చి కరేణుకావిభుఁడు సౌందర్యంబుతో నొప్పె సం
భ్రమదాశాకరిణీ కరోజ్ఝిత సుధాంభస్స్నాన విశ్రాంతుఁడై""",మత్తేభము
"""పూరించెన్ హరి పాంచజన్యముఁ, గృపాంభోరాశి సౌజన్యమున్,
భూరిధ్వాన చలాచలీకృత మహాభూత ప్రచైతన్యమున్,
సారోదారసిత ప్రభాచకిత పర్జన్యాది రాజన్యమున్,
దూరీభూత విపన్నదైన్యమును, నిర్ధూతద్విషత్సైన్యమున్.""",శార్ధూలము
"""మొరసెన్ నిర్జరదుందుభుల్; జలరుహామోదంబులై వాయువుల్
దిరిగెం; బువ్వులవానజల్లుఁ గురిసెన్; దేవాంగనాలాస్యముల్
పరఁగెన్; దిక్కులయందు జీవజయశబ్దధ్వానముల్ నిండె; సా
గర ముప్పొంగెఁ దరంగ చుంబిత నభోగంగాముఖాంభోజమై.""",మత్తేభము
"""అవనీనాథ! గజేంద్రుఁ డా మకరితో నాలంబుఁ గావించె మున్
ద్రవిళాధీశుఁ డతండు పుణ్యతముఁ డింద్రద్యుమ్న నాముండు వై
ష్ణవ ముఖ్యుండు గృహీతమౌననియతిన్ సర్వాత్ము నారాయణున్
సవిశేషంబుగఁ బూజ చేసెను మహాశైలాగ్రభాగంబునన్""",మత్తేభము
"""ఒకనాఁ డా నృపుఁ డచ్యుతున్ మనసులో నూహించుచున్ మౌనియై
యకలంకస్థితి నున్నచోఁ గలశజుం డచ్చోటికిన్ వచ్చి లే
వక పూజింపక యున్న మౌనిఁ గని నవ్యక్రోధుఁడై మూఢ! లు
బ్ధ! కరీంద్రోత్తమ యోనిఁ బుట్టు"" మని శాపం బిచ్చె భూవల్లభా!""",మత్తేభము
"""విను ము న్నేటికిఁ ద్రచ్చె పాలకడలిన్ విష్ణుండు? కూర్మాకృతిన్
వనధిం జొచ్చి య దెట్లు మోచె బలుకవ్వంబైన శైలంబు? దే
వ నికాయం బమృతంబు నెట్లు పడసెన్? వారాశి నేమేమి సం
జనితం బయ్యె? మునీంద్ర! చోద్యము గదా సర్వంబుఁ జెప్పంగదే""",మత్తేభము
"""ఒకవేయర్కులు గూడిగట్టి కదుపై యుద్యత్ప్రభాభూతితో
నొకరూపై చనుదెంచుమాడ్కి హరి దా నొప్పారె; నా వేలుపుల్
వికలాలోకనులై; విషణ్ణమతులై; విభ్రాంతులై మ్రోలఁ గా
నక శంకించిరి కొంత ప్రొద్దు; విభుఁ గానం బోలునే వారికిన్""",మత్తేభము
"""ఈ రీతిం జతురాననాది నుతుఁడై యేపార జీమూత గం
భీరంబైన రవంబునం బలికె సంప్రీతాత్ముఁడై యీశ్వరుం
డా రోమాంచిత కాయులన్ నవవిముక్తాపాయులం బ్రేయులం
బ్రారబ్ధోగ్ర మహార్ణవోన్మథన వాంఛానల్పులన్ వేల్పులన్.""",శార్ధూలము
"""గరుడారోహకుఁడై గదాదిధరుఁడై కారుణ్యసంయుక్తుఁడై
హరికోటిప్రభతో ""నొహో వెఱవకుం"" డంచుం బ్రదీపించి త
ద్గిరిఁ గేలన్ నలువొంద గందుకము మాడ్కింబట్టి క్రీడించుచు
న్గరుణాలోకసుధన్ సురాసురుల ప్రాణంబుల్ సమర్థించుచున్.""",మత్తేభము
"""గౌరవమైన భారమునఁ గవ్వపుఁగొండ ధరింప లేక దో
స్సార విహీనులై యుభయ సైనికులుం గడు సిగ్గుతో నకూ
పారతటంబునం బడిరి పౌరుషముం జెడి పాండవేయ! యె
వ్వారికి నేరఁబోలు బలవంతపు దైవము నాక్రమింపగన్?""",ఉత్పలమాల
"""కమఠంబై జలరాశిఁ జొచ్చి లఘు ముక్తాశుక్తి చందంబునన్
నమదద్రీంద్రము నెత్తె వాసుకి మహానాగంబుతో లీలతో
నమరేంద్రాదులు మౌళికంపములతో నౌనౌఁగదే! బాపురే!
కమలాక్షా! శర""ణంచు భూదిశలు నాకాశంబునున్ మ్రోయఁగన్.""",మత్తేభము
"""చని కైలాసముఁ జొచ్చి శంకరుని వాసద్వారముం జేరి యీ
శుని దౌవారికు లడ్డపడ్డఁ దల మంచుం జొచ్చి ""కుయ్యో! మొఱో!
విను; మాలింపుము; చిత్తగింపుము; దయన్ వీక్షింపు"" మం చంబుజా
సనముఖ్యుల్ గని రార్తరక్షణ కళాసంరంభునిన్ శంభునిన్.""",మత్తేభము
"""అమరన్ లోకహితార్థమంచు నభవుం ""డౌఁ గాక"" యం చాడెఁ బో
యమరుల్ భీతిని ""మ్రింగవే"" యనిరి వో యంభోజగర్భాదులుం
దముఁ గావన్ హర! ""లెమ్ము లెమ్మనిరి"" వో తాఁ జూచి కన్గంట న
య్యుమ ప్రాణేశ్వరు నెట్లు మ్రింగుమనె నయ్యుగ్రానలజ్వాలలన్.""",మత్తేభము
"""తనచుట్టున్ సురసంఘముల్ జయజయధ్వానంబులన్ బొబ్బిడన్
ఘన గంభీర రవంబుతో శివుఁడు ""లోకద్రోహి! హుం! పోకు ర""
మ్మని కెంగేలఁ దెమల్చి కూర్చి కడిగా నంకించి జంబూఫలం
బని సర్వంకషమున్ మహావిషము నాహారించె హేలాగతిన్.""",మత్తేభము
"""కదలం బాఱవు పాఁప పేరు; లొడలన్ ఘర్మాంబుజాలంబు పు
ట్టదు; నేత్రంబులు నెఱ్ఱ గావు; నిజజూటా చంద్రుఁడుం గందఁడున్;
వదనాంభోజము వాడ; దా విషము నాహ్వానించుచో డాయుచోఁ
బదిలుండై కడి జేయుచోఁ దిగుచుచో భక్షించుచో మ్రింగుచోన్.""",మత్తేభము
"""జగముల తండ్రియై తనరు శౌరి జగంబుల తల్లి నిందిరం
దగ నురమందుఁ దాల్చె; నటఁ దత్కరుణారసదృష్టిచేఁ బ్రజల్
మగుడఁగఁ దొంటి భంగి నతిమంగళసాధ్వి పతిత్వసంపదన్
నెగడిన లోకముల్ గని; రనేక శుభంబులఁ బొంది రత్తఱిన్.""",చంపకమాల
"""మ్రోసెన్ శంఖ మృదంగ వేణురవముల్ మున్నాడి; పెంజీఁకటుల్
వాసెన్; నర్తన గాన లీలల సురల్ భాసిల్లి; రార్యుల్ జగ
ద్వాసుల్ విష్ణుని బ్రహ్మ రుద్ర ముఖరుల్ తల్లింగమంత్రంబులం
బ్రాసక్తిన్ వినుతించి రుల్లసిత పుష్పశ్రేణి వర్షించుచున్.""",శార్ధూలము
"""అమరవ్రాతములోన జొచ్చి దివిజుండై రాహు పీయూష పా
నము జేయం గని చంద్రభాస్కరులు సన్నల్ చేయ నారాయణుం
డమరారాతిశిరంబు చక్రహతిఁ దున్మాడెన్ సుధాసిక్త మై
యమరత్వంబును జెందె మూర్ధముఁ దదన్యాంగంబు నేలం బడెన్""",మత్తేభము
"""అమరుల్ రక్కసులుం బ్రయాసబలసత్త్వార్థా భిమానంబులన్
సములై లబ్ధవికల్పు లైరి యమరుల్ సంశ్రేయముం బొంది ర
య్యమరారుల్; బహుదుఃఖముల్ గనిరి తా మత్యంత దోర్గర్వులై;
కమలాక్షున్ శరణంబు వేఁడని జనుల్ కల్యాణ సంయుక్తులే.""",మత్తేభము
"""అరుదై కామగమై మయాసురకృతంబై లోకితాలోక్యమై
వరశస్త్రాస్త్ర సమేతమై తరళమై వైహాయసంబై మహా
సురయోధాన్వితమైన యానమున సంశోభిల్లెఁ బూర్ణేందు సు
స్థిరకాంతిన్ బలి చామరధ్వజ చమూదీప్తస్థితిన్ ముందటన్.""",మత్తేభము
